airtableId,jobStart,jobEnd,salaryMin,salaryMax,requirementsDescription,position,sectorExpMin,sectorExpMax,positionExpMin,positionExpMax,mission,MissionLocations,mission,MissionLanguages
rec03eX80AwunU8KN,,,50000,50000,"<ul class=""liste"">
<li>Language: fluent English, German is a plus</li>
<li>Working experience: any, attentive and detail-oriented, Windows architecture is a plus</li>
<li>Education: EU citizens/residence holders – any; others have to have a University degree (starting from Bachelor) so we can sponsor the work permit</li>
</ul>
",others,2,2,2,10,rec03eX80AwunU8KN,europe/germany/berlin,rec03eX80AwunU8KN,en
rec0t420QAE6AgEAn,2023-04-01,,35000,55000,"<p>● 1 year of experience minimum (with a work-study)<br>
● Two to three years of significant software dev experience in front and back in a team<br>
● The candidate must speak French<br>
● Willingness to work in a team, to manage projects from start to finish<br>
● Years of freelance experience are not taken for granted<br>
● Autonomous<br>
● Very high work requirement<br>
● Willingness to work in a startup with high growth potential<br>
● Design work and reflection<br>
● The candidate should preferably come from the New Aquitaine region (Bordeaux)<br>
● French engineering school ,Epitech and/or Ecole 42 (full curriculum)</p>
",full-stack-developer,,,,,,,rec0t420QAE6AgEAn,fr
rec11F8d7djUmcYvT,,,24000,24000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec11F8d7djUmcYvT,europe/bulgaria,rec11F8d7djUmcYvT,"bg,en"
rec1fLbPRArMKBz4D,,,48000,48000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec1fLbPRArMKBz4D,europe/united-kingdom/city-of-london,rec1fLbPRArMKBz4D,en
rec25eM1zf8i9g7V4,,,8320,12480,"<ul class=""liste"">
<li>Looking for people with at least one year of experience, preferably 2 years</li>
<li>They should be trained on industry standard tools</li>
<li>They should have Bachelor of Engineering degree in computer science or IT is a must</li>
<li>They will work with the US team where they are looking at the tickets which are gonna be generated in terms of security, as well as internal tickets</li>
<li>They are documenting a lot of security protocols</li>
<li>They are coming up with new security protocals whenever required.</li>
</ul>
",security-engineer,,,1,2,rec25eM1zf8i9g7V4,asia/india,rec25eM1zf8i9g7V4,"en,hi"
rec2jbStt0bBp170k,2023-04-01,2023-06-01,35000,40000,"<p>-3+ years of experience as a Graphic Designer in either an in-house, agency or freelance setting<br>
-Ideally a BA or higher in Graphic Design and/or Visual Communication<br>
-English and French</p>
",graphic-designer,2,2,3,5,,,rec2jbStt0bBp170k,"en,fr"
rec2klFOiG4bFFIQM,,,40000,45000,"<p>**Our requirements: **<br>
● Vous avez déjà une à<br>
plusieurs expériences professionnelles<br>
ayant trait à la finance ● Vous avez l'esprit d'équipe,<br>
un bon sens des affaires<br>
, et un<br>
esprit analytique</p>
<p>● Vous êtes à l'écoute et attentif, ce qui vous permet de comprendre les besoins. Vous pouvez structurer votre travail, suivre les indicateurs de performance et gérer les rapports de manière naturellement proactive.<br>
● Vous avez un bon esprit d'analyse et vous êtes doué pour les chiffres.<br>
●<br>
Rigueur, autonomie, proactivité, fiabilité<br>
sont des qualificatifs qui vous correspondent. ● Vous savez être autonome sur les sujets de préparation de levée de fonds, sur la<br>
participation au business plan, gestion du cash, des banques, cabinets comptables<br>
et de la comptabilité fournisseurs<br>
● Une maîtrise du<br>
français et de l’anglais courant est obligatoire</p>
",auditor,,,,,rec2klFOiG4bFFIQM,europe/france,,
rec2Xnb1aA6Evh8id,,,60000,75000,"<p>**Technology used by the company is Ruby **</p>
<ul class=""liste"">
<li><strong>5 to 10 years of experience as a Full Stack  developer</strong></li>
<li>Previous experience in**a scale-up (at least 2 years) **<br>
Stack to master:<br>
**Ruby **and/or **Django (at least 2 years old) **<br>
** **</li>
<li><strong>Back :  Ruby, PostgreSQL, Heroku</strong></li>
<li><strong>Front : Typescript , React native, React</strong><br>
** **</li>
<li>Proximity to Paris but not mandatory</li>
<li>The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team.</li>
<li>The candidate must be **French native/or professional level **</li>
</ul>
",full-stack-developer,,,,,rec2Xnb1aA6Evh8id,europe/france/paris,rec2Xnb1aA6Evh8id,fr
rec4HUudTcWwWYHm2,2023-04-01,2023-06-01,70000,80000,"<p>-Mobile web3 tech experience<br>
-Web3 experience on mobile as a user<br>
-Experience working in full remote / autonomy (he / she will be alone on his project at the beginning, we need someone really autonomous)<br>
-Deployed and maintained 1 or more apps on the stores for several years (we don't want someone who has made 40 MVPs but never pushed further)<br>
-English and French<br>
-Top 30 Schools of Engineer in Europe</p>
",developer,0,0,3,5,,,rec4HUudTcWwWYHm2,"en,fr"
rec4uikpCMqbSRZVN,,,40000,40000,"<p>Experience of delivering research and insights projects, whether it is from a consultancy (McKinsey, Deloitte etc) or from agency.<br>
Do not have to be Chinese, English needs to be at native level, because most of the output will be in English, and it is talking about insights.</p>
",research,3,3,3,5,rec4uikpCMqbSRZVN,"asia/china/shanghai,europe/united-kingdom/city-of-london",rec4uikpCMqbSRZVN,en
