,missionCandidate,missionId,status,Time_matching_score,Salary_matching_score,Hardskill_Matching_Score,Degree_Subjects_Matching_Score,Position_Matching_Score,Location_Matching_Score,Language_Matching_Score,Reason
0,rec0ijxnKLBBDIYQ7,rec7MvbTywFTvWryg,Rejected by CP,,-0.2,0.8,0.5,0.7,1.0,0.0,"The candidate has hardskills of javascript and ruby-on-rails which are related to the job requirement of Ruby, PostgreSQL, Heroku, Typescript, React native, React. The degree subject of Web developer is related to the job requirement. The candidate can go to the job location of europe/france/paris. The candidate can not speak the required language of fr."
1,rec0int3CbDJkliSl,recUwquxTAuaSpYwc,Interview Process,,-6.0,0.8,0.5,0.7,1.0,1.0,The candidate has healthcare and ivd hardskills which are related to the job position. The degree subject of the candidate is Biotechnology & Pharmaceutical Management which covers some of the skills required in the job position. The candidate can go to Europe/France which is the job location. The candidate can speak all the languages required in the job.
2,rec0j4E310FlCL6zl,rec6N2U5wJf7t3ySH,Rejected by client,-0.01,-2.5,0.8,0.5,0.7,0.0,1.0,"The candidate has experience in cloud-applications, hardware, software which are related to the job requirements. The candidate has degree in Quimica agrícola which covers some of the job requirements. The candidate has experience in the job position which is related to the job requirements. The candidate's location is not matched with the job location. The candidate can speak all the languages required by the job."
3,rec0jTM9sbzgKMpqP,rec5Vy4oVduUs4WKq,Sent to Client,,-2.15,0.8,0.5,0.7,1.0,1.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers 50% of the job requirement. The candidate has the necessary language and location for the job."
4,rec0pko6Vul5U0H61,recETHEgTGsGxaBPv,Screened by CP,-1.54,-2.0,0.5,0.8,0.7,1.0,1.0,"The candidate has relevant hardskills and degree subjects for the job position, and the candidate can go to the job location and speak the required language."
5,rec0QxeXOIvtWkU7A,recAczNwH7Yk3tM2z,Rejected by CP,,,0.8,0.6,0.9,1.0,1.0,"The candidate has a Bachelor or Master in business, knowledge of Entrepreneur, passion for BTOB Sales, fluency in English and local language, driving license, willing to travel, be able to attend necessary meetings, and experienced in consumer electronics products (mobile phones, headphones, etc.) or physical product sales. The candidate's hardskills are related to the job position, and the candidate's location is the same as the job location. The candidate can speak both English and local language which is required by the job."
6,rec0rp34NubKJl8V4,recJHwegfLPOBlDmf,Rejected by client,,-0.0,0.8,0.6,0.9,1.0,1.0,"The candidate has Microsoft Office, Oracle CRM, Photoshop, Salesforce.com hardskills which are related to the job requirements. The candidate's degree subject Information Systems Management covers some of the job requirements. The candidate's hardskills and degree subjects are related to the job position. The candidate's location is the same as the job location. The candidate's language is the same as the job language."
7,,recA3Ye1PMACJlO1Z,Rejected by CP,-0.33,-5.5,0.8,0.6,0.9,1.0,1.0,"Candidate has experience in building backend data services and microservices at scale, leading and architecting major new enhancements, strong understanding of web services and best practices, strong experience with managing the security aspects, working knowledge on Node.js, GraphQl, AWS, Express JS, PostgreSQL, Hasura. Candidate has a degree in Computer Science which covers the skills required in the job requirements. Candidate can go to the job locations. Candidate can speak the required language."
8,rec0UyMHemcZU2cCd,recJHwegfLPOBlDmf,Rejected by CP,,,0.8,0.6,0.7,1.0,1.0,"The candidate has experience in BTO, which is related to the job requirement. The candidate's degree subject is related to the job requirement. The candidate has experience in business development, which is related to the job position. The candidate can go to the job location. The candidate can speak the language required by the job."
9,,recwMSrftJ7BbX5mZ,Rejected by CP,,,0.8,0.6,0.9,1.0,1.0,"The candidate has a Bachelor's degree in Computer Science and has experience working with relational database structures, SQL and/or flat files and performing table joins, web crawling, and web development. The candidate is also proficient in Java, C#, C++, or Python and is familiar with Node.js. The candidate is also familiar with various data management methodologies, data exploration techniques, data quality assurance practices, and data discovery/visualization tools. The candidate is also able to communicate their ideas effectively and share the company's values. The candidate is also able to work in the job location and speak the required languages."
10,rec0x1TasOk6bHSiR,reckP2haWFD9xplVj,Rejected by CP,,,0.8,0.9,0.7,1.0,0.0,"The candidate has 8 out of 10 hardskills required for the job, and the degree subject covers most of the job requirements. The candidate's location matches the job location. However, the candidate only speaks English and Slovenian, which does not match the job requirement of English and local language."
11,rec0X28U5DFjwVB2G,recLaxiCREBzTpmDO,Rejected by CP,,-0.4,0.5,0.8,0.7,0.0,1.0,"The candidate has 0.5 hardskill matching score because the candidate has udf, upc, upf hardskills which are related to the job position. The candidate has 0.8 degree subjects matching score because the degree subjects nan covers some of the skills required in the job position. The candidate has 0.7 position matching score because the candidate has some of the skills required in the job position. The candidate has 0 location matching score because the candidate's location nan does not match with the job location europe/france/paris. The candidate has 1 language matching score because the candidate's language en matches with the job language en,fr."
12,rec10XB9YYbJmFsYA,rect4fduNiqcXC123,Interview Process,-0.06,-1.5,0.8,0.6,0.9,1.0,1.0,"The candidate has strong experience in Outbound Sales and a first experience as a manager, which matches the job requirements. The candidate has a degree in International Business, which covers some of the skills required in the job. The candidate has the hardskills and degree subjects to match the job position. The candidate can go to the job location. The candidate can speak all the languages required for the job."
13,rec137G1mig6nZrkI,recsld3DKqBhnW6rg,Rejected by CP,-0.21,-0.65,0.8,0.9,0.7,0.0,0.0,"The candidate has 4 out of 5 hardskills required for the job, and the degree subject covers most of the job requirements. However, the candidate's location does not match the job location and the candidate does not speak the language required for the job."
14,rec1ELGXcgw4I5HPi,recnBWL7L2B5oicAV,Rejected by client,-0.61,-1.2,0.8,0.6,0.9,1.0,1.0,"The candidate has hardskills related to the job requirements, degree subjects related to the job position, and can work in the job location and speak the job language."
15,rec1gO76DygLR1LLn,recDD8JBa77gVncOf,Rejected by client,,-0.75,0.8,0.5,0.7,1.0,1.0,"The candidate has 4 out of 5 hardskills required by the job, and the degree subjects are related to the job position. The candidate can work in the job location and can speak the language required by the job."
16,rec1HL9iQwL50uUnO,recAczNwH7Yk3tM2z,Rejected by client,,-1.0,0.75,0.5,0.9,0.0,1.0,"The candidate has 3 out of 4 hardskills required for the job, and the degree subject is related to the job. The candidate has all the languages required for the job, but the location is not matched."
17,rec1kBBtHtKA304Z4,recAtcVMDz425qUT3,Rejected by client,,-0.0,0.8,0.6,0.9,1.0,1.0,"The candidate has 5 years of experience in data engineering or related field, BSc in Computer Science or similar, proven experience with Python, strong understanding of data warehousing, ETL processes, and data modelling, exposure to spreadsheet data pipelines, experience with Fintech companies, have an understanding how insurance works, experience with data visualisation tools, especially AWS QuickInsights, is a plus. The candidate is a resident in England, Wales or Scotland, is curious and reliable. The candidate can speak English. The candidate's location is Europe/United Kingdom."
