,missionCandidate,missionId,status,Time_matching_score,Salary_matching_score,General_matching_score_dict
0,rec0ijxnKLBBDIYQ7,rec7MvbTywFTvWryg,Rejected by CP,,-0.2,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate has hardskills of javascript and ruby-on-rails which are related to the job requirement of Ruby, PostgreSQL, Heroku, Typescript, React native, React. The degree subject of Web developer covers some of the job requirement. The candidate can work remotely or travel to the headquarters in Paris from time to time to meet the team. The candidate's location is europe/france which contains the job location europe/france/paris. However, the candidate can only speak English which is not the required language of the job.""
    }"
1,rec0int3CbDJkliSl,recUwquxTAuaSpYwc,Interview Process,,-6.0,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.5,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has healthcare and ivd hardskills which are related to the job position. The degree subject of the candidate is Biotechnology & Pharmaceutical Management which covers some of the skills required in the job position. The candidate can go to Europe/France which is the job location. The candidate can speak all the languages required in the job.""
    }"
2,rec0j4E310FlCL6zl,rec6N2U5wJf7t3ySH,Rejected by client,-0.01,-2.5,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0.5,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has experience in a start-up (2-3 years) with a tech position with responsabilities, has an entrepreneur / startup mindset (likes taking risks), stayed at his previous positions for at least one year, experience with agronomic and technical issues (Vertical Farming), worked in greenhouse hydroponics, all types of technology are accepted, very good technical level based on hardware and software development experience in various technological environments, knowledge of UX. The candidate has hardskills related to the job requirements such as cloud-applications, hardware, software. The candidate has degree subjects related to the job requirements such as Quimica agrícola. The candidate can travel to the job location, Cartagena, or travel there a few days a month. The candidate can speak all the languages required for the job, en, es, fr.""
    }"
3,rec0jTM9sbzgKMpqP,rec5Vy4oVduUs4WKq,Sent to Client,,-2.15,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has 7 hardskills which are related to the job requirements, and the degree subjects are related to the job position. The candidate can go to the job location and speak the required language.""
    }"
4,rec0pko6Vul5U0H61,recETHEgTGsGxaBPv,Screened by CP,-1.54,-2.0,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 1,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has relevant hardskills (microsoft-office, vector) which are related to the job requirements (use of automotive diagnostics tools, repair solutions provision and disassembly and assembly skills). The candidate's degree subject (Systèmes embarqués) covers some of the job requirements. The candidate's location (europe/france) matches the job location. The candidate's language (en, fr) matches the job language.""
    }"
5,rec0QxeXOIvtWkU7A,recAczNwH7Yk3tM2z,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": 0.5,
        ""Degree_Subjects_Matching_Score"": 0.8,
        ""Position_Matching_Score"": 0.7,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has a Bachelor or Master in business, which covers the knowledge of Entrepreneur and BTOB Sales. The candidate has .com hardskills which is related to the job position. The candidate can speak English and local language which is required by the job. However, the candidate is not based in the Capital city and cannot travel to the job location.""
    }"
6,rec0rp34NubKJl8V4,recJHwegfLPOBlDmf,Rejected by client,,-0.0,"{
    ""Hardskill_Matching_Score"": 0.5,
    ""Degree_Subjects_Matching_Score"": 0.8,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has Microsoft Office, Oracle CRM, Photoshop and Salesforce.com hardskills which are related to the job requirements. The candidate has Information Systems Management degree subject which covers the job requirements. The candidate has the same language as the job requires. The candidate has the same location as the job requires. The candidate has the potential to do the job position.""
    }"
7,,recA3Ye1PMACJlO1Z,Rejected by CP,-0.33,-5.5,"{
        ""Hardskill_Matching_Score"": 0.8,
        ""Degree_Subjects_Matching_Score"": 0.6,
        ""Position_Matching_Score"": 0.9,
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 1,
        ""Reason"": ""The candidate has experience in building backend data services and microservices at scale, leading and architecting major new enhancements, strong understanding of web services and best practices, strong experience with managing the security aspects, working knowledge on Node.js, GraphQl, AWS, Express JS, PostgreSQL, Hasura. The candidate has a degree in Computer Science which covers most of the job requirements. The candidate has the hard skills and experience to fulfill the job position. The candidate can only speak English and Hindi, which does not match the job language requirement. The candidate is located in India, which does not match the job location requirement.""
    }"
8,rec0UyMHemcZU2cCd,recJHwegfLPOBlDmf,Rejected by CP,,,"{
    ""Hardskill_Matching_Score"": 0.5,
    ""Degree_Subjects_Matching_Score"": 0.8,
    ""Position_Matching_Score"": 0.7,
    ""Location_Matching_Score"": 1,
    ""Language_Matching_Score"": 1,
    ""Reason"": ""The candidate has hardskills related to the job requirements, such as BTO. The degree subjects of the candidate covers most of the job requirements. The candidate has the ability to do the job position. The candidate can go to the job location. The candidate can speak all the languages required for the job.""
    }"
9,,recwMSrftJ7BbX5mZ,Rejected by CP,,,"{
        ""Hardskill_Matching_Score"": ""NA"",
        ""Degree_Subjects_Matching_Score"": ""NA"",
        ""Position_Matching_Score"": ""NA"",
        ""Location_Matching_Score"": 0,
        ""Language_Matching_Score"": 0,
        ""Reason"": ""The candidate's location does not match the job location and the candidate's language does not match the job language.""
    }"
