airtableId,jobStart,jobEnd,salaryMin,salaryMax,requirementsDescription,position,sectorExpMin,sectorExpMax,positionExpMin,positionExpMax,airtableId,missionId,availableFrom,availableUntil,minSalaryExpect,maxSalaryExpect,degreeSubject,status,missionCandidate,MissionCandidateHardSkills,missionCandidate,MissionCandidateLocations,mission,MissionLocations,missionCandidate,MissionCandidateLanguages,mission,MissionLanguages
rec7MvbTywFTvWryg,,,45000,60000,"<p>**Technology used by the company is Ruby **</p>
<ul class=""liste"">
<li>
<p>Min **2 years of experience **as a full stack developer or school exit (-<strong>Top engineering school – “Top 10”</strong>) -Info school (only Epita)</p>
</li>
<li>
<p>Proximity to Paris but not mandatory</p>
</li>
<li>
<p>The candidate can both work remotely and travel to the headquarters in Paris from time to time to meet the team.</p>
</li>
<li>
<p>The candidate must be native French (or professional level)</p>
</li>
<li>
<p><strong>Back :  Ruby, PostgreSQL, Heroku</strong></p>
</li>
<li>
<p><strong>Front : Typescript , React native, React</strong></p>
</li>
</ul>
",full-stack-developer,,,,,rec0ijxnKLBBDIYQ7,rec7MvbTywFTvWryg,,,43000,45000,Web developer,Rejected by CP,rec0ijxnKLBBDIYQ7,"javascript,ruby-on-rails",rec0ijxnKLBBDIYQ7,europe/france,rec7MvbTywFTvWryg,europe/france/paris,rec0ijxnKLBBDIYQ7,en,rec7MvbTywFTvWryg,fr
recUwquxTAuaSpYwc,,,60000,70000,"<p>The ideal candidate should have resources in France or Europe and have lived in France or Europe for many years, with a deep understanding of the local culture and a good level of connections <br>
Background in Business School<br>
Consulting/IB/VC experience</p>
",business-development,,,6,9,rec0int3CbDJkliSl,recUwquxTAuaSpYwc,,,120000,,Biotechnology & Pharmaceutical Management,Interview Process,rec0int3CbDJkliSl,"healthcare,ivd",rec0int3CbDJkliSl,europe/france,recUwquxTAuaSpYwc,europe/france,rec0int3CbDJkliSl,"en,fr,zh",recUwquxTAuaSpYwc,"en,fr,zh"
rec6N2U5wJf7t3ySH,2023-04-03,,40000,70000,"<p>-Previous experience in <strong>a start-up (2-3 years)</strong> with a <strong>tech</strong> position with <strong>responsabilities</strong><br>
-Have an entrepreneur / startup mindset (likes taking risks)<br>
**-**Stayed at his previous positions for <strong>at least one year</strong><br>
-Experience with <strong>agronomic and technical issues</strong> (Vertical Farming)<br>
-Worked in greenhouse hydroponics.<br>
-All types of technology are accepted<br>
-Very good technical level based on hardware and software development experience in various technological environments<br>
-Knowledge of UX</p>
<p>Information for recruiters !</p>
<p>-Ideally, you should find a candidate who lives within 50 km of Cartagena!<br>
-If this is too complicated, find a candidate who is able to travel there often.<br>
-And if that's not possible, find a candidate who can travel there a few days a month.</p>
",cto,,,1,5,rec0j4E310FlCL6zl,rec6N2U5wJf7t3ySH,2023-04-04,2023-04-30,65000,70000,Quimica agrícola,Rejected by client,rec0j4E310FlCL6zl,"cloud-applications,hardware,software",rec0j4E310FlCL6zl,worldwide,rec6N2U5wJf7t3ySH,europe/spain,rec0j4E310FlCL6zl,"en,es,fr",rec6N2U5wJf7t3ySH,"es,fr"
rec5Vy4oVduUs4WKq,,,24000,24000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: experience in consumer electronics (mobile phones, headphones, etc.) or physical product sales; Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec0jTM9sbzgKMpqP,rec5Vy4oVduUs4WKq,,,2500,,,Sent to Client,rec0jTM9sbzgKMpqP,"business-management,digital-marketing,electronics,logistics,negotiation,sales,sap",,,rec5Vy4oVduUs4WKq,europe/hungary/budapest,rec0jTM9sbzgKMpqP,"en,hu",rec5Vy4oVduUs4WKq,"en,hu"
recETHEgTGsGxaBPv,2023-04-03,,40000,60000,"<ul class=""liste"">
<li>Relevant education at Bachelor level and at least 5 years work experience with European automotive industry</li>
<li>Certification of EV repair or equal is a must and senior repair qualification or equal is preferred</li>
<li>Extensive experience with after sales, preferably in the technical support and management</li>
<li>Skilled with the use of automotive diagnostics tools，repair solutions provision and disassembly and assembly skills</li>
<li>French as mother language and good command of the English language (written and spoken)</li>
<li>Skilled in the use of basic computer applications (MS Office)</li>
<li>Very good communication skills, able to effectively communicate with professionals in different cultures</li>
<li>Creative thinking in order to find efficient, customer oriented after sales solutions</li>
<li>High level of flexibility</li>
</ul>
",technical-advisor,,,5,10,rec0pko6Vul5U0H61,recETHEgTGsGxaBPv,2023-09-04,,60000,,Systèmes embarqués,Screened by CP,rec0pko6Vul5U0H61,"microsoft-office,vector",rec0pko6Vul5U0H61,europe/france,recETHEgTGsGxaBPv,europe/france,rec0pko6Vul5U0H61,"en,fr",recETHEgTGsGxaBPv,"en,fr"
recAczNwH7Yk3tM2z,,,30000,42000,"<ul class=""liste"">
<li>Bachelor or Master in business</li>
<li>Based in Capital city is necessary</li>
<li>Knowledge of Entrepreneur</li>
<li>Passion for BTOB Sales, eager to get more commissions</li>
<li>Fluency in English and local language</li>
<li>Driving License</li>
<li>Willing to travel</li>
<li>Be able to attend necessary meetings</li>
<li>Experienced candidates: 2-5 years of experience in consumer electronics products (mobile phones, headphones, etc.) or physical product sales (Age cannot exceed 40); Inexperienced candidates: favouring recent graduate</li>
</ul>
",sales-manager,0,0,0,3,rec0QxeXOIvtWkU7A,recAczNwH7Yk3tM2z,,,,,,Rejected by CP,rec0QxeXOIvtWkU7A,.com,,,recAczNwH7Yk3tM2z,europe/france/ile-de-france,rec0QxeXOIvtWkU7A,en,recAczNwH7Yk3tM2z,"en,fr"
recJHwegfLPOBlDmf,2023-06-04,,54000,54000,"<ul class=""liste"">
<li>Utilisation d’un CRM très orienté new deal</li>
<li><strong>Expérience significative en tant que commercial</strong> ou équivalent dans la vente et le partenariats. <strong>( Ex: chargé de partenariats)</strong></li>
<li>Capacité à établir et <strong>maintenir</strong> des relations de confiance avec les partenaires</li>
<li>Aptitude à** la négociation , la vente et un peu de technicité** ( Capable d’accord avec de grands groupes et d’animer la population commerciale au sein des partenaires : Capable de faire des <strong>Démonstrations de produits</strong>)</li>
<li>Très bon relationnel, parfaitement à <strong>l'aise à l'oral</strong></li>
<li>Volonté de développer ses compétences commerciales sur un marché complexe et passionnant,</li>
<li><strong>Solides compétences en analyse de données et en interprétation des tendances de vente</strong></li>
<li>Volonté de travailler dans une Proptech à forte croissance</li>
<li>Réel <strong>intérêt pour le monde de l’énergie</strong></li>
<li>Participer à la transition énergétique des entreprises des collectivités et des gestionnaires de bail</li>
<li><strong>Sensibilité dans l’énergie tertiaire et/ou industrielle</strong></li>
<li>Une expérience dans un <strong>bureau d'études</strong> ou de CVC est également très intéressante.</li>
</ul>
",business-development,,,6,9,rec0rp34NubKJl8V4,recJHwegfLPOBlDmf,,,54000,162000,Information Systems Management,Rejected by client,rec0rp34NubKJl8V4,"microsoft-office,oracle-crm,photoshop,salesforce.com",,,recJHwegfLPOBlDmf,europe/france,rec0rp34NubKJl8V4,"en,fr",recJHwegfLPOBlDmf,"en,fr"
recA3Ye1PMACJlO1Z,2023-04-03,,65000,120000,"<ul class=""liste"">
<li>Experience in building backend data services and Microservices at scale</li>
<li>Experience leading and architecting major new enhancements</li>
<li>Strong understanding of web services and best practices    Strong experience with managing the security aspects</li>
<li>Have working knowledge on following technologies:<br>
Node.js – GraphQl – AWS  - Express JS – PostgreSQL - Hasura</li>
<li>Experience – min 7 years experience</li>
<li>Experience in a tech start-up or large company</li>
<li>Have stayed in a company for at least 2 years</li>
</ul>
",backend-developer,,,6,9,rec0sRx6amdO0kkVB,recA3Ye1PMACJlO1Z,2023-03-01,,120000,,,Rejected by CP,,,,,recA3Ye1PMACJlO1Z,"americas/united-states,asia/india,europe",rec0sRx6amdO0kkVB,"en,hi",recA3Ye1PMACJlO1Z,en
recJHwegfLPOBlDmf,2023-06-04,,54000,54000,"<ul class=""liste"">
<li>Utilisation d’un CRM très orienté new deal</li>
<li><strong>Expérience significative en tant que commercial</strong> ou équivalent dans la vente et le partenariats. <strong>( Ex: chargé de partenariats)</strong></li>
<li>Capacité à établir et <strong>maintenir</strong> des relations de confiance avec les partenaires</li>
<li>Aptitude à** la négociation , la vente et un peu de technicité** ( Capable d’accord avec de grands groupes et d’animer la population commerciale au sein des partenaires : Capable de faire des <strong>Démonstrations de produits</strong>)</li>
<li>Très bon relationnel, parfaitement à <strong>l'aise à l'oral</strong></li>
<li>Volonté de développer ses compétences commerciales sur un marché complexe et passionnant,</li>
<li><strong>Solides compétences en analyse de données et en interprétation des tendances de vente</strong></li>
<li>Volonté de travailler dans une Proptech à forte croissance</li>
<li>Réel <strong>intérêt pour le monde de l’énergie</strong></li>
<li>Participer à la transition énergétique des entreprises des collectivités et des gestionnaires de bail</li>
<li><strong>Sensibilité dans l’énergie tertiaire et/ou industrielle</strong></li>
<li>Une expérience dans un <strong>bureau d'études</strong> ou de CVC est également très intéressante.</li>
</ul>
",business-development,,,6,9,rec0UyMHemcZU2cCd,recJHwegfLPOBlDmf,,,,,,Rejected by CP,rec0UyMHemcZU2cCd,bto,,,recJHwegfLPOBlDmf,europe/france,rec0UyMHemcZU2cCd,fr,recJHwegfLPOBlDmf,"en,fr"
recwMSrftJ7BbX5mZ,,,8320,12480,"<ul class=""liste"">
<li>Bachelor’s degree in Information Science, Computer Science, Computer Engineering, Mathematics, or related field, or 3 plus years of relevant work experience</li>
<li>Experience working with relational database structures, SQL and/or flat files and performing table joins, web crawling, and web development</li>
<li>Proficiency in one or more of the following programming languages: Java, C#, C++, or Python and  familiarity with Node.js</li>
<li>Experience working with commercial relational database systems such as electronic medical records or other clinical systems, client relationship management software, or accounting systems a plus</li>
<li>Familiar with various data management methodologies, data exploration techniques, data quality assurance practices, and data discovery/ visualization tools</li>
<li>Natural curiosity about what’s hidden in the data through exploration, attention to detail, and ability to see the big picture – similar to putting together a 10,000-piece puzzle</li>
<li>Ability to communicate your ideas (verbal and written) so that team members and clients can understand them</li>
<li>Share our values: growth, relationships, integrity, and true grit</li>
</ul>
",data-engineer,,,1,2,rec0wK7k0JOIBxEig,recwMSrftJ7BbX5mZ,,,,,,Rejected by CP,,,,,recwMSrftJ7BbX5mZ,asia/india,rec0wK7k0JOIBxEig,"en,hi",recwMSrftJ7BbX5mZ,"en,hi"
